title,body,labels
Update publication dates,"Check footer, other locations in the document",Launch TODO
Project credits,,Launch TODO
Change LICENSE to MIT if open sourcing,By default things are copyright NPR,Launch TODO
Analytics config,"- [ ] Standard events for completion and click interaction
- [ ] Dimensions set in the project.json file--steal the primary topic, topic ID, and secondary topic IDs from related stories.
- [ ] Document any custom events in the README",Launch TODO
Verify page title tags are good,,Launch TODO
Optimize images,,Launch TODO
Determine what the publish URL will be,"Workshop w/ the engagement team. Sort this out before requesting redirects.",Launch TODO
Create Seamus stub/shell page and request redirects,"- [ ] Create page on live Seamus
- [ ] Make sure publish URLs are finalized
- [ ] Publish on staging (one day later, after DB syncs to stage)
- [ ] Publish on live
- [ ] Request redirects for staging and live
- [ ] Test redirects on staging
- [ ] Post-launch, ask sysadmins to remove any unneded redirects
- [ ] Note the Seamus ID, published URL and other relevant info in the [spreadsheet](https://docs.google.com/spreadsheets/d/1JuukYVK54wwYQiDedX-c-YMOc41fz-vEMrqCyiMpW2E/edit#gid=0)
https://github.com/nprapps/workinprivate/blob/master/shell_pages.md",Launch TODO
Add promo images and text to Seamus stub/shell page,This is especially important if the page will also be syndicated to stations. Make sure there is a prominent link to the published project URL.,Launch TODO
Setup retrospective review with editor,What did we learn? How do we do better next time?,Post-launch
Schedule iteration reviews,,Project Management
Schedule sprint planning meetings,,Project Management
Schedule sprint retrospectives,,Project Management
Let the copy desk know an app is coming,,Project Management
Copy edit,,Launch TODO
Email media relations re: press releases,,Launch TODO
Email comms re: promoting the project in Nipper News,,Launch TODO
Alert stations about project,Specifically send a heads-up to stations with local interest. Determine if the stub page also will be syndicated/communicated to stations.,Project Management
Draft promo language for social media with engagement team,Includes Facebook and Twitter,Launch TODO
"Social metadata and images (for Twitter, Facebook)",Images should have an aspect ratio of 1.91:1 and be a minimum of 1200 x 630. Verify with debuggers: https://developers.facebook.com/tools/debug/ and https://dev.twitter.com/docs/cards/validation/validator,Launch TODO
Distribute launch timeline,"Let stakeholders, engagement, social media, etc know what the launch schedule is",Project Management
Browser testing,"- [ ] Edge 
- [ ] Chrome (OS X)
- [ ] Chrome (Android) 
- [ ] Chrome (Windows)
- [ ] Chrome (iOS) 
- [ ] Firefox (OS X)
- [ ] Firefox (Windows)
- [ ] Safari (iOS)
- [ ] Safari (iOS, in-app)
- [ ] NPR One (iOS/Android, in-app)",
Automated performance tests,Lighthouse (accessibility and performance),
Accessibility testing,"Works in screen reader, does not violate WCAG 2.1",
Update master sitemaps index and redeploy,Instructions and a script for generating/publishing the sitemap are checked into workinprivate (`generate_sitemap.sh`).,Post-launch
Add project to team projects list,Update https://github.com/nprapps/nprapps.github.com/blob/master/_data/apps.yml,Post-launch
Write the team blog post,,Post-launch
Analytics report,Collect and study data one week after launch,
Backport new features into the interactive template,,Launch TODO
